departamento,distrito,total_matriculados
Alto Paraguay,Bahía Negra,426
Alto Paraguay,Carmelo Peralta,808
Alto Paraguay,Fuerte Olimpo,919
Alto Paraguay,Mayor Pablo Lagerenza,100
Alto Paraguay,Puerto Casado,1266
Alto Paraná,Ciudad del Este,52084
Alto Paraná,Domingo Martínez de Irala,932
Alto Paraná,Dr. Juan León Mallorquín,2895
Alto Paraná,Dr. Raúl Peña,1115
Alto Paraná,Hernandarias,13828
Alto Paraná,Iruña,495
Alto Paraná,Itakyry,5617
Alto Paraná,Juan E. O'Leary,3238
Alto Paraná,Los Cedrales,1204
Alto Paraná,Mbaracayú,980
Alto Paraná,Minga Guazú,14597
Alto Paraná,Minga Porá,2463
Alto Paraná,Naranjal,903
Alto Paraná,Presidente Franco,14045
Alto Paraná,San Alberto,1782
Alto Paraná,San Cristóbal,1527
Alto Paraná,Santa Fe del Paraná,627
Alto Paraná,Santa Rita,4401
Alto Paraná,Santa Rosa del Monday,825
Alto Paraná,Tavapy,1193
Alto Paraná,Yguazú,1516
Alto Paraná,Ñacunday,1401
Amambay,Bella Vista,1847
Amambay,Capitán Bado,2880
Amambay,Karapai,1001
Amambay,Pedro Juan Caballero,19448
Amambay,Zanja Pyta,512
Boqueron,Filadelfia,3148
Boqueron,Loma Plata,4033
Boqueron,Mariscal Estigarribia,5174
Boqueron,Pedro P. Peña,53
Caaguazú,3 de Febrero,1258
Caaguazú,Caaguazú,17366
Caaguazú,Carayaó,2224
Caaguazú,Coronel Oviedo,15652
Caaguazú,Dr. Cecilio Báez,1024
Caaguazú,Dr. Juan Eulogio Estigarribia,6105
Caaguazú,Dr. Juan Manuel Frutos,3353
Caaguazú,José Domingo Ocampos,1382
Caaguazú,La Pastora,546
Caaguazú,Mariscal Francisco Solano López,955
Caaguazú,Nueva Londres,422
Caaguazú,Nueva Toledo,1091
Caaguazú,R.I. 3 Corrales,1030
Caaguazú,Raúl Arsenio Oviedo,2715
Caaguazú,Repatriación,4853
Caaguazú,San Joaquín,2353
Caaguazú,San José de los Arroyos,1938
Caaguazú,Santa Rosa del Mbutuy,1864
Caaguazú,Simón Bolívar,523
Caaguazú,Tembiaporá,2485
Caaguazú,Vaquería,2257
Caaguazú,Yhú,4820
Caazapá,3 de Mayo,2747
Caazapá,Abaí,4953
Caazapá,Buena Vista,833
Caazapá,Caazapá,3499
Caazapá,Dr. Moisés S. Bertoni,743
Caazapá,Fulgencio Yegros,837
Caazapá,General Higinio Morínigo,827
Caazapá,Maciel,528
Caazapá,San Juan Nepomuceno,5955
Caazapá,Tavaí,3308
Caazapá,Yuty,2619
Canindeyú,Corpus Christi,1150
Canindeyú,Curuguaty,7041
Canindeyú,Francisco Caballero Alvarez,1382
Canindeyú,Itanará,358
Canindeyú,Katueté,1749
Canindeyú,La Paloma del Espíritu Santo,1361
Canindeyú,Maracana,2898
Canindeyú,Nueva Esperanza,2321
Canindeyú,Salto del Guairá,5112
Canindeyú,Villa Ygatimí,2576
Canindeyú,Yasy Cañy,4591
Canindeyú,Yby Pyta,2747
Canindeyú,Ybyrarovaná,2053
Canindeyú,Ypehú,1262
Capital,Asunción,76355
Central,Areguá,10594
Central,Capiatá,33556
Central,Fernando de la Mora,14970
Central,Guarambaré,4478
