departamento,institucion,año,codigo_establecimiento,codigo_departamento,codigo_distrito,distrito,codigo_zona,zona,codigo_barrio_localidad,localidad,codigo_institucion,sector,primer_grado_hombre,primer_grado_mujer,segundo_grado_hombre,segundo_grado_mujer,tercer_grado_hombre,tercer_grado_mujer,cuarto_grado_hombre,cuarto_grado_mujer,quinto_grado_hombre,quinto_grado_mujer,sexto_grado_hombre,sexto_grado_mujer,septimo_grado_hombre,septimo_grado_mujer,octavo_grado_hombre,octavo_grado_mujer,noveno_grado_hombre,noveno_grado_mujer,total_matriculados_hombre,total_matriculados_mujer,total_matriculados,total_primer_ciclo,total_segundo_ciclo,total_tercer_ciclo
Alto Paraguay,ESCUELA BÁSICA N° 117 MAYOR RAMÓN BEJARANO,2020,1701004,17,1,Fuerte Olimpo,1,Urbana,8989,ZONA RIBERA OLIMPO,3467,Oficial,24,19,31,14,24,16,9,22,17,24,12,15,12,6,9,11,10,7,148,134,282,128,99,55
Alto Paraguay,ESCUELA BÁSICA N° 1155 DOMINGO SAVIO,2020,1702004,17,2,Puerto Casado,1,Urbana,9000,DON BOSCO,6068,Privado Subvencionado,13,13,27,9,15,13,19,11,11,19,19,13,15,13,10,14,8,14,137,119,256,90,92,74
Alto Paraguay,ESCUELA BÁSICA N° 6309 ARCO IRIS,2020,1603005,17,2,Puerto Casado,2,Rural,52106,ZONA MONTANIA,6235,Privado Subvencionado,24,17,10,14,20,10,17,13,13,10,9,9,18,15,10,3,5,4,126,95,221,95,71,55
Alto Paraná,CENTRO REGIONAL DE EDUCACIÓN DOCTOR JOSÉ GASPAR RODRÍGUEZ DE FRANCIA,2020,1001025,10,1,Ciudad del Este,1,Urbana,7326,BOQUERON,6457,Oficial,101,85,94,104,100,95,62,104,96,99,92,107,102,115,119,128,126,153,892,990,1882,579,560,743
Alto Paraná,ESCUELA BÁSICA N° 5437 CENTRO EDUCATIVO MUNICIPAL,2020,1001164,10,1,Ciudad del Este,1,Urbana,7332,CIUDAD NUEVA,6656,Oficial,91,97,105,90,81,86,82,94,90,82,81,83,85,93,67,90,84,83,766,798,1564,550,512,502
Alto Paraná,ESCUELA BÁSICA N° 1513 JORGE RUBEN PEÑA,2020,1002020,10,2,Presidente Franco,1,Urbana,7686,SAGRADO CORAZON DE JESUS,6753,Oficial,99,81,72,101,88,97,79,68,62,72,68,89,75,87,62,71,59,71,664,737,1401,538,438,425
Amambay,ESCUELA BÁSICA N° 1743 CERRO CORÁ,2020,1301012,13,1,Pedro Juan Caballero,1,Urbana,8558,OBRERO,9061,Oficial,77,79,86,88,87,63,67,69,71,72,59,70,85,90,76,86,62,74,670,691,1361,480,408,473
Amambay,ESCUELA BÁSICA N° 458 MARISCAL FRANCISCO SOLANO LÓPEZ - ANEXA AL CENTRO REGIONAL DE EDUCACIÓN DR. RAÚL PEÑA,2020,1301057,13,1,Pedro Juan Caballero,1,Urbana,8553,GUARANI,9107,Oficial,78,56,63,74,62,77,71,63,73,83,60,83,39,54,44,39,39,42,529,571,1100,410,433,257
Amambay,ESCUELA BÁSICA N° 4776 PROFESORA REBECA FORTUNATA ALÉN ROJAS,2020,1301128,13,1,Pedro Juan Caballero,1,Urbana,8558,OBRERO,9203,Oficial,62,53,56,54,59,64,43,52,61,49,31,55,33,43,25,31,19,38,389,439,828,348,291,189
Boqueron,ESCUELA BÁSICA N° 4606 HÉROES DEL CHACO,2020,1656001,16,5,Loma Plata,1,Urbana,9171,CASCO URBANO,10117,Oficial,45,52,39,38,36,39,34,53,34,34,17,23,41,61,25,32,20,31,291,363,654,249,195,210
Boqueron,ESCUELA BÁSICA N° 6021 UJ'E LHAVOS,2020,1657018,16,4,Filadelfia,2,Rural,9464,FILADELFIA,9844,Oficial,62,46,39,53,49,38,55,44,34,22,30,27,18,21,15,29,4,13,306,293,599,287,212,100
Boqueron,ESCUELA BÁSICA N° 3840 DEPARTAMENTAL BOQUERÓN,2020,1657015,16,4,Filadelfia,1,Urbana,9464,FILADELFIA,10144,Oficial,23,16,24,31,31,24,31,27,28,24,26,33,21,16,22,28,18,15,224,214,438,149,169,120
Caaguazú,ESCUELA BÁSICA N° 727 CRISTO REY,2020,512001,5,12,Dr. Juan Eulogio Estigarribia,1,Urbana,5572,SANTA LIBRADA,3924,Oficial,79,67,79,76,81,50,61,80,66,61,62,57,44,51,41,49,38,39,551,530,1081,432,387,262
Caaguazú,ESCUELA BÁSICA N° 1097 INMACULADA CONCEPCIÓN,2020,502011,5,2,Caaguazú,1,Urbana,5451,CENTRO,3294,Privado Subvencionado,74,72,76,78,68,83,63,66,63,76,70,69,0,0,0,0,0,0,414,444,858,451,407,0
Caaguazú,COLEGIO NACIONAL DE E.M.D. DR. PEDRO P. PEÑA,2020,501248,5,1,Coronel Oviedo,1,Urbana,5550,SAN ISIDRO,3124,Oficial,0,0,0,0,0,0,0,0,0,0,0,0,141,124,135,138,133,144,409,406,815,0,0,815
Caazapá,ESCUELA BÁSICA N° 63 DOCTOR PEDRO ZARZA ROA,2020,610002,6,10,Yuty,1,Urbana,6191,SAN LUIS,4571,Oficial,33,36,34,31,38,31,23,26,41,32,39,35,26,28,21,21,19,18,274,258,532,203,196,133
Caazapá,ESCUELA BÁSICA N° 174 PROFESORA MARGARITA CABRAL CENTURIÓN,2020,607006,6,7,San Juan Nepomuceno,1,Urbana,6080,CENTRAL,4403,Oficial,29,28,26,32,31,38,21,34,33,32,35,34,31,19,24,19,15,14,245,250,495,184,189,122
Caazapá,ESCUELA BÁSICA N° 1961 PROFESORA JULIA IGNACIA ACOSTA DE GONZÁLEZ,2020,607003,6,7,San Juan Nepomuceno,1,Urbana,6126,SAN VICENTE,4400,Oficial,21,22,23,17,22,14,19,21,19,14,11,24,23,17,18,19,21,25,177,173,350,119,108,123
Canindeyú,ESCUELA BÁSICA N° 411 CARLOS RICARDO MÉNDES CONCALVES,2020,1401006,14,1,Salto del Guairá,1,Urbana,8759,DONDE NACE EL SOL,9290,Oficial,49,52,60,52,63,49,51,53,53,51,53,45,18,19,25,31,21,25,393,377,770,325,306,139
Canindeyú,ESCUELA BÁSICA N° 1578 GENERAL FULGENCIO YEGROS,2020,1401018,14,1,Salto del Guairá,2,Rural,8757,ASENT. 8 DE DICIEMBRE,9302,Oficial,49,48,47,49,40,53,54,42,32,45,30,37,23,12,15,15,11,12,301,313,614,286,240,88
Canindeyú,ESCUELA BÁSICA N° 4281 DOCTOR DIONISIO GONZÁLEZ TORRES,2020,1401002,14,1,Salto del Guairá,1,Urbana,8758,SAN PEDRO,9286,Oficial,41,37,36,40,48,37,36,37,39,42,31,29,19,29,11,23,15,18,276,292,568,239,214,115
Capital,ESCUELA BÁSICA N° 4645 CENTRO EDUCATIVO LA ESPERANZA,2020,15059,0,0,Asunción,1,Urbana,9034,SAN BLAS,8343,Privado Subvencionado,92,103,91,85,86,81,85,100,78,74,77,91,104,108,93,98,85,94,791,834,1625,538,505,582
Capital,ESCUELA BÁSICA N° 1278 APÓSTOLICO SAN JOSÉ,2020,14109,0,0,Asunción,1,Urbana,9074,SAN PABLO,680,Privado,81,83,82,74,91,69,85,57,52,82,86,63,70,68,57,60,54,43,658,599,1257,480,425,352
Capital,ESCUELA BÁSICA N° 1187 CRISTO REY,2020,10082,0,0,Asunción,1,Urbana,9065,LA ENCARNACION,435,Privado,80,60,64,75,69,71,77,62,76,62,69,69,70,70,68,70,72,66,645,605,1250,419,415,416
Central,ESCUELA BÁSICA N° 23 ESPAÑA,2020,1114068,11,14,San Lorenzo,1,Urbana,8211,SAN PEDRO,8540,Oficial,105,91,95,79,79,101,98,98,87,85,96,104,36,30,47,37,44,39,687,664,1351,550,568,233
Central,ESCUELA BÁSICA N° 26 GENERAL  JOSÉ ELIZARDO AQUINO,2020,1109084,11,9,Luque,1,Urbana,8086,TERCER BARRIO,8216,Oficial,69,90,87,74,81,70,68,90,88,80,82,75,60,70,61,67,69,63,665,679,1344,471,483,390
Central,ESCUELA BÁSICA N° 25 CARLOS ANTONIO LÓPEZ,2020,1112011,11,12,Ñemby,1,Urbana,8151,CENTRO,8384,Oficial,78,82,81,91,82,80,82,84,66,72,87,89,56,52,65,54,58,63,655,667,1322,494,480,348
Concepción,CENTRO REGIONAL DE EDUCACIÓN JUAN E. O'LEARY,2020,101017,1,1,Concepción,1,Urbana,3877,PRIMAVERA,739,Oficial,32,35,27,43,34,28,33,30,29,34,30,36,68,66,59,67,57,80,369,419,788,199,192,397
Concepción,ESCUELA BÁSICA N° 274 AGUSTÍN BARBOZA,2020,158001,1,6,San Lázaro,2,Rural,4055,VALLEMI VIRGEN DE FATIMA SUB-URBANO,1219,Oficial,57,40,46,41,40,33,39,44,36,29,40,36,41,35,33,32,38,34,370,324,694,257,224,213
Concepción,ESCUELA BÁSICA N° 479 DON BOSCO,2020,101015,1,1,Concepción,1,Urbana,3870,ITACURUBI,728,Privado Subvencionado,42,44,40,39,44,31,40,31,35,28,48,31,34,29,17,29,23,34,323,296,619,240,213,166
Cordillera,ESCUELA BÁSICA N° 40 TENIENTE JOSÉ MARÍA FARIÑA,2020,301005,3,1,Caacupé,1,Urbana,4868,YVOTY,2279,Oficial,54,54,72,63,49,68,48,53,61,53,55,57,70,53,68,63,62,55,539,519,1058,360,327,371
